# loglike weights omch2 ombh2 h ns 10^9As b0
1.427385680828981984e-01 2.113522964774233390e-02 7.027936549477469264e-01 9.921468767717366299e-01 2.339573956242093633e+00 1.177064964350471588e+00 0.000000000000000000e+00 -1.890424018252227397e+05
1.239629966372591263e-01 2.388950351042831016e-02 6.395779516043312851e-01 9.396112731561759857e-01 2.382002551101487953e+00 6.671819423613234434e-01 0.000000000000000000e+00 -4.986700891005023732e+05
1.287934890446959246e-01 2.439631495388503227e-02 6.242062568374528997e-01 9.234954215375394959e-01 2.239477823865742234e+00 6.726797714855581312e-01 0.000000000000000000e+00 -5.428359423567729536e+05
1.054015738963495763e-01 1.889155734822356089e-02 7.427702984786308527e-01 9.463245100561472611e-01 2.204909089336114292e+00 8.494948506033629387e-01 0.000000000000000000e+00 -2.260251355204976280e+05
1.536744114899069591e-01 2.545118916987364893e-02 6.941034923470666973e-01 9.856742632019642736e-01 2.660893368889930333e+00 1.317406968986905458e+00 0.000000000000000000e+00 -4.830702971278350451e+05
1.025142770728705577e-01 2.284269868365411058e-02 6.304718030109019988e-01 9.716698718105800658e-01 2.783280387691359881e+00 7.370838296433996906e-01 0.000000000000000000e+00 -3.658664792739991099e+05
1.508212526499219386e-01 1.930348797660201565e-02 6.468329903223872801e-01 9.594089207299253408e-01 2.799332874524300685e+00 5.780162095631693475e-01 0.000000000000000000e+00 -2.181154201627536677e+05
9.683870124165176729e-02 2.540623583296322194e-02 7.109955750248810880e-01 9.476133260769790123e-01 2.657847055559449778e+00 6.661377499815966940e-01 0.000000000000000000e+00 -9.258682383403193671e+05
1.177890880600711565e-01 2.141690623562824553e-02 6.107713302770444441e-01 9.867687348468988651e-01 2.899281566804842836e+00 1.499996419826987282e+00 0.000000000000000000e+00 -4.603664800423338311e+05
1.394683413239462821e-01 1.868942989028954393e-02 6.452744483367721662e-01 9.411646270067256514e-01 2.504717237701528543e+00 5.078302736283625274e-01 0.000000000000000000e+00 -8.111188567344233161e+05
1.304167305008767375e-01 1.971610121592614132e-02 7.199236531001274031e-01 9.526462609418235861e-01 2.277553460622908865e+00 5.465435088849909251e-01 0.000000000000000000e+00 -8.648511520980951609e+05
1.279542681181282671e-01 2.121549753019794093e-02 6.919766668080341576e-01 9.732994505232125393e-01 2.536421859480949781e+00 1.272743378151294014e+00 0.000000000000000000e+00 -2.250560714021026506e+05
1.235951130871215942e-01 2.061787655361382518e-02 7.475589524414441023e-01 9.882891220396777809e-01 2.438989004493163470e+00 5.870126032153399898e-01 0.000000000000000000e+00 -6.317387469587078085e+05
1.136235615670163207e-01 2.080714618250174147e-02 6.115699384480351997e-01 9.956448620157141161e-01 2.697331452189981604e+00 5.788625573306538374e-01 0.000000000000000000e+00 -7.849357367068576859e+05
1.018985147806803215e-01 2.477798504048868422e-02 6.611223157839845044e-01 9.214200500763152224e-01 2.980301840908547550e+00 1.406662944975785923e+00 0.000000000000000000e+00 -1.704755176838184707e+05
1.136947682693118522e-01 1.829640046027583566e-02 7.424405027806972868e-01 9.327170236616962873e-01 2.979145977999118511e+00 1.283904769063044959e+00 0.000000000000000000e+00 -2.509116550077058782e+05
1.447865865277740138e-01 2.398587945442363228e-02 6.678768684552858215e-01 9.670786448254028445e-01 2.627096178596223019e+00 5.017106997884180908e-01 0.000000000000000000e+00 -7.716258012037944281e+05
1.303305795410481249e-01 2.562607540929190408e-02 6.891984604894303423e-01 9.280313022995042571e-01 2.198708370561338832e+00 6.410895755334373725e-01 0.000000000000000000e+00 -6.393415460731477942e+05
1.244405068613871068e-01 2.275992270108850510e-02 6.441447339589052579e-01 9.869254757584731141e-01 2.621308790405994849e+00 7.045076780209003076e-01 0.000000000000000000e+00 -2.123241838782411360e+05
1.244315482728670097e-01 2.081283050651959107e-02 7.113379044431854537e-01 9.736236280544178223e-01 2.566190566267104956e+00 6.757080751019627352e-01 0.000000000000000000e+00 -2.548271931663821160e+05
1.155737795362659914e-01 1.988308036057997996e-02 6.525864526263381871e-01 9.768188000071710286e-01 2.619958293787847392e+00 6.192192175883343142e-01 0.000000000000000000e+00 -5.473407177063843701e+05
1.483236287319281421e-01 2.446795565263747835e-02 6.794056964331123272e-01 9.892815013369228305e-01 2.621733689748546592e+00 1.417969001941314477e+00 0.000000000000000000e+00 -5.631551308140921174e+05
8.613142634242496043e-02 1.831158667734810591e-02 6.515267781113551759e-01 9.312582535811764206e-01 2.750739525586101575e+00 9.120000322267004522e-01 0.000000000000000000e+00 -1.874413885987923713e+05
1.571098224942913402e-01 1.967089433236359972e-02 6.403504776494708395e-01 9.688161608125730462e-01 2.588433087311359238e+00 1.286377682847690274e+00 0.000000000000000000e+00 -4.849039851724878536e+05
1.289058696400745829e-01 2.635570893657259578e-02 6.586787762841643801e-01 9.464929725500995650e-01 2.709525920570037716e+00 1.473721404334738416e+00 0.000000000000000000e+00 -4.106099607182222535e+05
1.025749829074715791e-01 2.055729430389728954e-02 6.100644904798855350e-01 9.578260953612598438e-01 2.765998305680455793e+00 6.329564568373172717e-01 0.000000000000000000e+00 -7.368949691415781854e+05
1.537425388367459067e-01 2.457629721960332900e-02 7.043251603144701223e-01 9.934290365091862363e-01 2.283682942229304125e+00 1.309058856342263599e+00 0.000000000000000000e+00 -3.562831049409555853e+05
1.533090386809736749e-01 1.910663884749620386e-02 6.489661071769401435e-01 9.623399129994744117e-01 2.195703480649258577e+00 1.165852077579002444e+00 0.000000000000000000e+00 -1.874090334216824267e+05
